time_ms,q1,q2,q3,q4,v1,v2,v3,v4,e1,e2,e3,e4,fsr_raw,label
2003,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2003,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2004,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
2005,3.1401,-0.9956,0.698,0.2961,0.0,0.0,0.0,0.0,0.0,-44.0,-54.0,-30.0,0,0
